Ref	Count	SecCount	SupCount
ptg001691l	17818		
ptg001692l	29		
ptg001693l	5		
ptg001695l	3		
ptg001696l	45		
ptg001697l	59		
ptg001698l	4		
ptg001699l	287		
ptg001702l	3		
ptg001704l	2		
ptg001705l	64		
ptg001706l	12		
ptg001707l	1		
ptg001708l	9		
ptg001709l	4		
ptg001710l	4		
ptg001711l	106		
ptg001712l	17		
ptg001713l	3		
ptg001715l	11		
ptg001718l	8		
ptg001719l	4		
ptg001720l	2		
ptg001721c	42		
ptg001723l	2		
ptg001726l	3		
ptg001727l	4		
ptg001730l	29		
ptg001732l	133		
ptg001736l	264		
ptg001740l	10		
ptg001742l	1		
ptg001746l	13		
ptg001747l	6		
ptg001748l	5		
ptg001749l	1		
ptg001753l	7		
ptg001755l	33		
ptg001757l	3		
ptg001758l	2		
ptg001759l	2		
ptg001760l	168		
ptg001761l	1		
ptg001762l	3		
ptg001763l	6		
ptg001764l	1		
ptg001770l	4		
ptg001774l	4		
ptg001775l	1		
ptg001777l	5		
ptg001779l	4		
ptg001780l	344		
ptg001781l	131		
ptg001782l	6		
ptg001784l	4		
ptg001785l	1		
ptg001787l	49		
ptg001788l	2561		
ptg001789l	1		
ptg001792l	93		
ptg001793l	14		
ptg001794l	1		
ptg001795l	36764		
ptg001798l	2		
ptg001799l	5		
ptg001800l	30		
ptg001801l	3		
ptg001803l	9		
ptg001804l	5506		
ptg001805l	2		
ptg001806l	1		
ptg001807l	48		
ptg001808l	18914		
ptg001811l	5		
ptg001813l	5		
ptg001814l	2		
ptg001816l	18428		
ptg001819l	7		
ptg001820l	4		
ptg001821l	1		
ptg001822l	4		
ptg001823l	17		
ptg001824l	19		
ptg001826l	1		
ptg001827l	145		
ptg001828l	6		
ptg001829l	2		
ptg001830l	3		
ptg001831l	9		
ptg001832l	2		
ptg001833l	312		
ptg001834l	16		
ptg001836l	3		
ptg001837l	8		
ptg001838l	23		
ptg001843l	4		
ptg001846l	40		
ptg001848l	2		
ptg001849l	55		
ptg001850l	23987		
ptg001852l	10		
ptg001853l	3		
ptg001857l	4		
ptg001858l	1		
ptg001859l	11		
ptg001860l	6		
ptg001861l	1		
ptg001863l	17		
ptg001864l	11828		
ptg001865l	4		
ptg001866l	3		
ptg001867l	1		
ptg001869l	2931		
ptg001870l	23		
ptg001871l	13187		
ptg001873l	88		
ptg001874l	2		
ptg001875l	778		
ptg001876l	222		
ptg001878l	95		
ptg001880l	143		
ptg001882l	355		
ptg001883l	83		
